,States/UTs,Total geographical area,Reporting area for land utilization,Forests,Not available for cultivation,Permanent pastures and other grazing lands,Land under miscellaneous tree crops & groves,Culturable wasteland,Fallow lands other than current fallows,Current fallows,Net area sown,Forests area (%),Area not available for cultivation (%),Permanent pastures and other grazing lands (%),Land under miscellaneous tree crops & groves (%),Culturable wasteland (%),Fallow lands other than current fallows (%),Current fallow lands (%),Net area sown (%)
0,Andhra Pradesh,27507.0,27505,6210.0,4781.0,602.0,320.0,695.0,1583.0,3166.0,10147.0,22.58,17.38,2.19,1.16,2.53,5.76,11.51,36.89
1,Arunachal Pradesh,8374.0,5659,5154.0,65.0,18.0,37.0,67.0,73.0,37.0,209.0,91.08,1.15,0.32,0.65,1.18,1.29,0.65,3.69
2,Assam,7844.0,7850,1954.0,2512.0,160.0,209.0,77.0,60.0,127.0,2753.0,24.89,32.0,2.04,2.66,0.98,0.76,1.62,35.07
3,Bihar,9416.0,9360,622.0,2083.0,17.0,240.0,46.0,129.0,666.0,5556.0,6.65,22.25,0.18,2.56,0.49,1.38,7.12,59.36
4,Chhattisgarh,13519.0,13790,6355.0,996.0,857.0,1.0,350.0,238.0,271.0,4772.0,46.08,7.22,6.21,0.01,2.54,1.73,1.97,34.24
5,Delhi,148.0,147,1.0,92.0,0.0,1.0,10.0,8.0,12.0,23.0,0.68,62.59,0.0,0.68,6.8,5.44,8.16,15.65
6,Goa,370.0,361,125.0,37.0,1.0,1.0,53.0,0.0,7.0,137.0,34.63,10.25,0.28,0.28,14.68,0.0,1.94,37.95
7,Gujarat,19602.0,18868,1854.0,3752.0,850.0,4.0,1977.0,11.0,568.0,9852.0,9.83,19.89,4.5,0.02,10.48,0.06,3.01,52.22
8,Haryana,4421.0,4372,39.0,524.0,27.0,12.0,65.0,8.0,141.0,3556.0,0.89,11.99,0.62,0.27,1.49,0.18,3.23,81.34
9,Himachal Pradesh,5567.0,4545,1101.0,1130.0,1501.0,69.0,127.0,14.0,60.0,543.0,24.22,24.86,33.03,1.52,2.79,0.31,1.32,11.95
10,Jammu & Kashmir,22224.0,3781,2023.0,582.0,128.0,72.0,146.0,16.0,74.0,742.0,53.5,15.39,3.39,1.9,3.86,0.42,1.96,19.62
11,Jharkhand,7972.0,7970,2333.0,1365.0,88.0,113.0,274.0,783.0,1244.0,1769.0,29.27,17.13,1.1,1.42,3.44,9.82,15.61,22.2
12,Karnataka,19179.0,19050,3072.0,2151.0,934.0,292.0,416.0,515.0,1565.0,10105.0,16.13,11.29,4.9,1.53,2.18,2.7,8.22,53.04
13,Kerala,3886.0,3886,1082.0,475.0,0.0,9.0,90.0,47.0,82.0,2101.0,27.84,12.22,0.0,0.23,2.32,1.21,2.11,54.07
14,Madhya Pradesh,30825.0,30756,8699.0,3398.0,1348.0,19.0,1177.0,612.0,769.0,14735.0,28.28,11.05,4.38,0.06,3.83,1.99,2.5,47.91
15,Mahrashtra,30771.0,30758,5214.0,3131.0,1252.0,249.0,914.0,1199.0,1325.0,17475.0,16.95,10.18,4.07,0.81,2.97,3.9,4.31,56.81
16,Manipur,2233.0,1951,1693.0,27.0,1.0,6.0,1.0,0.0,0.0,224.0,86.78,1.38,0.05,0.31,0.05,0.0,0.0,11.48
17,Meghalaya,2243.0,2227,942.0,228.0,0.0,158.0,450.0,169.0,68.0,213.0,42.3,10.24,0.0,7.09,20.21,7.59,3.05,9.56
18,Mizoram,2108.0,1946,1594.0,134.0,5.0,10.0,5.0,82.0,24.0,92.0,81.91,6.89,0.26,0.51,0.26,4.21,1.23,4.73
